location,sex,population2010,meanpopulation,population2011
Aguiar da Beira,HM,5491,5453,5415
Aguiar da Beira,H,2594,2574,2553
Aguiar da Beira,M,2897,2880,2862
Carregal do Sal,HM,9836,9798,9760
Carregal do Sal,H,4663,4639,4614
Carregal do Sal,M,5173,5160,5146
Castro Daire,HM,15362,15299,15236
Castro Daire,H,7376,7338,7300
Castro Daire,M,7986,7961,7936
Mangualde,HM,19913,19853,19792
Mangualde,H,9569,9532,9494
Mangualde,M,10344,10321,10298
Mortágua,HM,9625,9575,9525
Mortágua,H,4636,4596,4556
Mortágua,M,4989,4979,4969
Nelas,HM,14040,14010,13980
Nelas,H,6680,6660,6639
Nelas,M,7360,7351,7341
Oliveira de Frades,HM,10270,10251,10231
Oliveira de Frades,H,4869,4855,4840
Oliveira de Frades,M,5401,5396,5391
Penalva do Castelo,HM,7971,7951,7931
Penalva do Castelo,H,3825,3816,3807
Penalva do Castelo,M,4146,4135,4124
Santa Comba Dão,HM,11607,11564,11521
Santa Comba Dão,H,5474,5447,5420
Santa Comba Dão,M,6133,6117,6101
São Pedro do Sul,HM,16877,16803,16728
São Pedro do Sul,H,7910,7865,7819
São Pedro do Sul,M,8967,8938,8909
Sátão,HM,12482,12419,12356
Sátão,H,5923,5884,5845
Sátão,M,6559,6535,6511
Tondela,HM,29008,28870,28731
Tondela,H,13777,13703,13629
Tondela,M,15231,15167,15102
Vila Nova de Paiva,HM,5181,5162,5143
Vila Nova de Paiva,H,2465,2457,2448
Vila Nova de Paiva,M,2716,2706,2695
Viseu,HM,99304,99255,99205
Viseu,H,46954,46877,46799
Viseu,M,52350,52378,52406
Vouzela,HM,10556,10513,10469
Vouzela,H,5029,4999,4968
Vouzela,M,5527,5514,5501
Pinhal Interior Sul,HM,40850,40579,40308
Pinhal Interior Sul,H,19406,19254,19102
Pinhal Interior Sul,M,21444,21325,21206
Mação,HM,7376,7317,7257
Mação,H,3506,3479,3451
Mação,M,3870,3838,3806
Oleiros,HM,5742,5692,5641
Oleiros,H,2738,2715,2692
Oleiros,M,3004,2977,2949
Proença-a-Nova,HM,8346,8289,8232
Proença-a-Nova,H,4002,3966,3930
Proença-a-Nova,M,4344,4323,4302
Sertã,HM,15922,15847,15772
Sertã,H,7571,7521,7470
Sertã,M,8351,8327,8302
Vila de Rei,HM,3464,3435,3406
Vila de Rei,H,1589,1574,1559
Vila de Rei,M,1875,1861,1847
Serra da Estrela,HM,43841,43616,43391
Serra da Estrela,H,20670,20551,20432
Serra da Estrela,M,23171,23065,22959
Fornos de Algodres,HM,4997,4975,4952
Fornos de Algodres,H,2356,2344,2332
Fornos de Algodres,M,2641,2631,2620
Gouveia,HM,14098,14009,13919
Gouveia,H,6537,6488,6438
Gouveia,M,7561,7521,7481
Seia,HM,24746,24633,24520
Seia,H,11777,11720,11662
Seia,M,12969,12914,12858
Beira Interior Norte,HM,104673,104162,103651
Beira Interior Norte,H,49701,49401,49101
Beira Interior Norte,M,54972,54761,54550
Almeida,HM,7256,7202,7147
Almeida,H,3396,3373,3350
Almeida,M,3860,3829,3797
Celorico da Beira,HM,7722,7682,7641
Celorico da Beira,H,3626,3605,3583
Celorico da Beira,M,4096,4077,4058
Figueira de Castelo Rodrigo,HM,6273,6249,6225
Figueira de Castelo Rodrigo,H,3006,2994,2982
Figueira de Castelo Rodrigo,M,3267,3255,3243
Guarda,HM,42606,42520,42433
Guarda,H,20367,20299,20230
Guarda,M,22239,22221,22203
Manteigas,HM,3445,3428,3410
Manteigas,H,1631,1623,1614
Manteigas,M,1814,1805,1796
Meda,HM,5218,5184,5149
Meda,H,2466,2451,2436
Meda,M,2752,2733,2713
Pinhel,HM,9650,9588,9526
Pinhel,H,4593,4554,4515
Pinhel,M,5057,5034,5011
Sabugal,HM,12590,12453,12315
Sabugal,H,5910,5836,5761
Sabugal,M,6680,6617,6554
Trancoso,HM,9913,9859,9805
Trancoso,H,4706,4668,4630
Trancoso,M,5207,5191,5175
Beira Interior Sul,HM,75223,74846,74469
Beira Interior Sul,H,35802,35594,35386
Beira Interior Sul,M,39421,39252,39083
Castelo Branco,HM,56212,56018,55824
Castelo Branco,H,26726,26617,26507
Castelo Branco,M,29486,29402,29317
Idanha-a-Nova,HM,9756,9674,9592
Idanha-a-Nova,H,4641,4595,4549
Idanha-a-Nova,M,5115,5079,5043
Penamacor,HM,5721,5659,5596
Penamacor,H,2787,2755,2722
Penamacor,M,2934,2904,2874
Vila Velha de Ródão,HM,3534,3496,3457
Vila Velha de Ródão,H,1648,1628,1608
Vila Velha de Ródão,M,1886,1868,1849
Cova da Beira,HM,88029,87696,87362
Cova da Beira,H,42105,41923,41740
Cova da Beira,M,45924,45773,45622
Belmonte,HM,6873,6850,6826
Belmonte,H,3297,3291,3284
Belmonte,M,3576,3559,3542
Covilhã,HM,51896,51714,51532
Covilhã,H,24777,24683,24588
Covilhã,M,27119,27032,26944
Fundão,HM,29260,29132,29004
Fundão,H,14031,13950,13868
Fundão,M,15229,15183,15136
Oeste,HM,362964,362300,361636
Oeste,H,175427,174947,174467
Oeste,M,187537,187353,187169
Alcobaça,HM,56795,56651,56506
Alcobaça,H,27526,27439,27351
Alcobaça,M,29269,29212,29155
Alenquer,HM,43311,43283,43254
Alenquer,H,21105,21070,21034
Alenquer,M,22206,22213,22220
Arruda dos Vinhos,HM,13391,13402,13412
Arruda dos Vinhos,H,6566,6567,6567
Arruda dos Vinhos,M,6825,6835,6845
Bombarral,HM,13206,13163,13119
Bombarral,H,6365,6336,6307
Bombarral,M,6841,6827,6812
Cadaval,HM,14262,14199,14135
Cadaval,H,6891,6852,6812
Cadaval,M,7371,7347,7323
Caldas da Rainha,HM,51795,51685,51574
Caldas da Rainha,H,24565,24496,24427
Caldas da Rainha,M,27230,27189,27147
Lourinhã,HM,25760,25727,25694
Lourinhã,H,12532,12505,12478
Lourinhã,M,13228,13222,13216
