"","lat","lon"
"1017",27.5,-5.625
"1018",28,-5.625
"1019",28.5,-5.625
"1020",29,-5.625
"1021",29.5,-5.625
"1022",30,-5.625
"1023",30.5,-5.625
"1024",31,-5.625
"1025",31.5,-5.625
"1026",32,-5.625
"1027",32.5,-5.625
"1028",33,-5.625
"1029",33.5,-5.625
"1030",34,-5.625
"1031",34.5,-5.625
"1032",35,-5.625
"1033",35.5,-5.625
"1034",36,-5.625
"1035",36.5,-5.625
"1036",37,-5.625
"1037",37.5,-5.625
"1038",38,-5.625
"1039",38.5,-5.625
"1040",39,-5.625
"1041",39.5,-5.625
"1042",40,-5.625
"1043",40.5,-5.625
"1044",41,-5.625
"1045",41.5,-5.625
"1046",42,-5.625
"1047",42.5,-5.625
"1048",43,-5.625
"1049",43.5,-5.625
"1050",44,-5.625
"1051",44.5,-5.625
"1052",45,-5.625
"1053",45.5,-5.625
"1054",46,-5.625
"1055",46.5,-5.625
"1056",47,-5.625
"1057",25.5,-5
"1058",26,-5
"1059",26.5,-5
"1060",27,-5
"1061",27.5,-5
"1062",28,-5
"1063",28.5,-5
"1064",29,-5
"1065",29.5,-5
"1066",30,-5
"1067",30.5,-5
"1068",31,-5
"1069",31.5,-5
"1070",32,-5
"1071",32.5,-5
"1072",33,-5
"1073",33.5,-5
"1074",34,-5
"1075",34.5,-5
"1076",35,-5
"1077",35.5,-5
"1078",36,-5
"1079",36.5,-5
"1080",37,-5
"1081",37.5,-5
"1082",38,-5
"1083",38.5,-5
"1084",39,-5
"1085",39.5,-5
"1086",40,-5
"1087",40.5,-5
"1088",41,-5
"1089",41.5,-5
"1090",42,-5
"1091",42.5,-5
"1092",43,-5
"1093",43.5,-5
"1094",44,-5
"1095",44.5,-5
"1096",45,-5
"1097",45.5,-5
"1098",46,-5
"1099",46.5,-5
"1100",47,-5
"1101",25.5,-4.375
"1102",26,-4.375
"1103",26.5,-4.375
"1104",27,-4.375
"1105",27.5,-4.375
"1106",28,-4.375
"1107",28.5,-4.375
"1108",29,-4.375
"1109",29.5,-4.375
"1110",30,-4.375
"1111",30.5,-4.375
"1112",31,-4.375
"1113",31.5,-4.375
"1114",32,-4.375
"1115",32.5,-4.375
"1116",33,-4.375
"1117",33.5,-4.375
